1,All Students,2005,4 year August,886,560,63.2,430,48.5,76.8,115,13.0,20.5,315,35.6,56.3,130,14.7,23.2,217,24.5,86,9.7,7,0.8,16,1.8
1,All Students,2012,4 year June,1069,628,58.7,616,57.6,98.1,228,21.3,36.3,388,36.3,61.8,12,1.1,1.9,281,26.3,149,13.9,7,0.7,3,0.3
1,All Students,2011,4 year June,1128,649,57.5,622,55.1,95.8,166,14.7,25.6,456,40.4,70.3,27,2.4,4.2,319,28.3,143,12.7,10,0.9,5,0.4
1,All Students,2010,4 year June,1104,564,51.1,543,49.2,96.3,127,11.5,22.5,416,37.7,73.8,21,1.9,3.7,334,30.3,197,17.8,2,0.2,5,0.5
1,All Students,2009,4 year June,1080,569,52.7,544,50.4,95.6,153,14.2,26.9,391,36.2,68.7,25,2.3,4.4,311,28.8,189,17.5,2,0.2,8,0.7
1,All Students,2008,4 year June,1128,639,56.6,620,55.0,97.0,184,16.3,28.8,436,38.7,68.2,19,1.7,3.0,290,25.7,173,15.3,13,1.2,12,1.1
1,All Students,2007,4 year June,1069,608,56.9,535,50.0,88.0,153,14.3,25.2,382,35.7,62.8,73,6.8,12.0,280,26.2,148,13.8,16,1.5,15,1.4
1,All Students,2006,4 year June,905,549,60.7,493,54.5,89.8,125,13.8,22.8,368,40.7,67.0,56,6.2,10.2,225,24.9,102,11.3,15,1.7,14,1.5
1,All Students,2005,4 year June,886,522,58.9,419,47.3,80.3,113,12.8,21.6,306,34.5,58.6,103,11.6,19.7,255,28.8,86,9.7,7,0.8,16,1.8
1,All Students,2004,4 year June,756,470,62.2,347,45.9,73.8,111,14.7,23.6,236,31.2,50.2,123,16.3,26.2,213,28.2,68,9.0,3,0.4,2,0.3
1,All Students,2003,4 year June,603,328,54.4,285,47.3,86.9,60,10.0,18.3,225,37.3,68.6,43,7.1,13.1,209,34.7,60,10.0,5,0.8,1,0.2
1,All Students,2002,4 year June,381,212,55.6,185,48.6,87.3,18,4.7,8.5,167,43.8,78.8,27,7.1,12.7,130,34.1,28,7.3,5,1.3,6,1.6
1,All Students,2001,4 year June,376,252,67.0,205,54.5,81.3,19,5.1,7.5,186,49.5,73.8,47,12.5,18.7,58,15.4,54,14.4,11,2.9,1,0.3
1,All Students,2011,5 year August,1169,765,65.4,721,61.7,94.2,166,14.2,21.7,555,47.5,72.5,44,3.8,5.8,175,15.0,210,18.0,14,1.2,3,0.3
1,All Students,2010,5 year August,1144,680,59.4,645,56.4,94.9,127,11.1,18.7,518,45.3,76.2,35,3.1,5.1,182,15.9,263,23.0,7,0.6,10,0.9
1,All Students,2009,5 year August,1110,705,63.5,672,60.5,95.3,157,14.1,22.3,515,46.4,73.0,33,3.0,4.7,142,12.8,244,22.0,5,0.5,12,1.1
1,All Students,2008,5 year August,1156,757,65.5,722,62.5,95.4,189,16.3,25.0,533,46.1,70.4,35,3.0,4.6,139,12.0,222,19.2,16,1.4,20,1.7
1,All Students,2007,5 year August,1098,730,66.5,614,55.9,84.1,157,14.3,21.5,457,41.6,62.6,116,10.6,15.9,84,7.7,241,21.9,24,2.2,19,1.7
1,All Students,2006,5 year August,1050,705,67.1,590,56.2,83.7,135,12.9,19.1,455,43.3,64.5,115,11.0,16.3,82,7.8,206,19.6,33,3.1,23,2.2
1,All Students,2011,5 year June,1169,753,64.4,711,60.8,94.4,166,14.2,22.0,545,46.6,72.4,42,3.6,5.6,187,16.0,210,18.0,14,1.2,3,0.3
1,All Students,2010,5 year June,1144,669,58.5,635,55.5,94.9,127,11.1,19.0,508,44.4,75.9,34,3.0,5.1,193,16.9,263,23.0,7,0.6,10,0.9
1,All Students,2009,5 year June,1110,684,61.6,652,58.7,95.3,156,14.1,22.8,496,44.7,72.5,32,2.9,4.7,163,14.7,244,22.0,5,0.5,12,1.1
1,All Students,2008,5 year June,1156,749,64.8,717,62.0,95.7,189,16.3,25.2,528,45.7,70.5,32,2.8,4.3,146,12.6,223,19.3,16,1.4,20,1.7
1,All Students,2007,5 year June,1098,717,65.3,604,55.0,84.2,156,14.2,21.8,448,40.8,62.5,113,10.3,15.8,95,8.7,242,22.0,25,2.3,19,1.7
1,All Students,2006,5 year June,1050,688,65.5,579,55.1,84.2,135,12.9,19.6,444,42.3,64.5,109,10.4,15.8,97,9.2,208,19.8,33,3.1,23,2.2
1,All Students,2005,5 year June,898,631,70.3,474,52.8,75.1,130,14.5,20.6,344,38.3,54.5,157,17.5,24.9,82,9.1,137,15.3,21,2.3,27,3.0
1,All Students,2004,5 year June,784,552,70.4,391,49.9,70.8,125,15.9,22.6,266,33.9,48.2,161,20.5,29.2,76,9.7,126,16.1,12,1.5,18,2.3
1,All Students,2003,5 year June,603,414,68.7,319,52.9,77.1,67,11.1,16.2,252,41.8,60.9,95,15.8,22.9,76,12.6,95,15.8,16,2.7,2,0.3
1,All Students,2002,5 year June,381,249,65.4,202,53.0,81.1,18,4.7,7.2,184,48.3,73.9,47,12.3,18.9,73,19.2,42,11.0,11,2.9,6,1.6
1,All Students,2001,5 year June,376,279,74.2,214,56.9,76.7,19,5.1,6.8,195,51.9,69.9,65,17.3,23.3,13,3.5,66,17.6,17,4.5,1,0.3
1,All Students,2010,6 year June,1149,715,62.2,673,58.6,94.1,127,11.1,17.8,546,47.5,76.4,42,3.7,5.9,130,11.3,286,24.9,7,0.6,9,0.8
1,All Students,2009,6 year June,1109,760,68.5,716,64.6,94.2,157,14.2,20.7,559,50.4,73.6,44,4.0,5.8,69,6.2,263,23.7,5,0.5,10,0.9
1,All Students,2008,6 year June,1163,785,67.5,745,64.1,94.9,189,16.3,24.1,556,47.8,70.8,40,3.4,5.1,90,7.7,242,20.8,21,1.8,23,2.0
1,All Students,2007,6 year June,1103,758,68.7,634,57.5,83.6,157,14.2,20.7,477,43.2,62.9,124,11.2,16.4,51,4.6,250,22.7,25,2.3,19,1.7
1,All Students,2006,6 year June,1050,720,68.6,595,56.7,82.6,135,12.9,18.8,460,43.8,63.9,125,11.9,17.4,32,3.0,243,23.1,30,2.9,22,2.1
1,All Students,2005,6 year June,910,677,74.4,496,54.5,73.3,131,14.4,19.4,365,40.1,53.9,181,19.9,26.7,32,3.5,153,16.8,21,2.3,27,3.0
1,All Students,2004,6 year June,787,577,73.3,404,51.3,70.0,126,16.0,21.8,278,35.3,48.2,173,22.0,30.0,41,5.2,136,17.3,13,1.7,19,2.4
1,All Students,2003,6 year June,611,447,73.2,332,54.3,74.3,70,11.5,15.7,262,42.9,58.6,115,18.8,25.7,35,5.7,109,17.8,16,2.6,4,0.7
1,All Students,2002,6 year June,381,273,71.7,211,55.4,77.3,19,5.0,7.0,192,50.4,70.3,62,16.3,22.7,28,7.3,63,16.5,11,2.9,6,1.6
1,All Students,2001,6 year June,376,282,75.0,215,57.2,76.2,19,5.1,6.7,196,52.1,69.5,67,17.8,23.8,4,1.1,69,18.4,20,5.3,1,0.3
2,All Students,2012,4 year August,8980,6905,76.9,6596,73.5,95.5,1975,22.0,28.6,4621,51.5,66.9,309,3.4,4.5,1380,15.4,601,6.7,19,0.2,68,0.8
2,All Students,2011,4 year August,8716,6499,74.6,6207,71.2,95.5,1893,21.7,29.1,4314,49.5,66.4,292,3.4,4.5,1461,16.8,663,7.6,32,0.4,54,0.6
2,All Students,2010,4 year August,9037,6532,72.3,6237,69.0,95.5,1893,20.9,29.0,4344,48.1,66.5,295,3.3,4.5,1701,18.8,717,7.9,35,0.4,50,0.6
2,All Students,2009,4 year August,9454,6539,69.2,6302,66.7,96.4,1821,19.3,27.8,4481,47.4,68.5,237,2.5,3.6,1873,19.8,899,9.5,62,0.7,77,0.8
2,All Students,2008,4 year August,9680,6607,68.3,6362,65.7,96.3,1859,19.2,28.1,4503,46.5,68.2,245,2.5,3.7,1835,19.0,1042,10.8,88,0.9,99,1.0
2,All Students,2007,4 year August,9416,6415,68.1,5651,60.0,88.1,1779,18.9,27.7,3872,41.1,60.4,764,8.1,11.9,1666,17.7,1070,11.4,98,1.0,157,1.7
2,All Students,2006,4 year August,9671,6528,67.5,5313,54.9,81.4,1693,17.5,25.9,3620,37.4,55.5,1215,12.6,18.6,1830,18.9,969,10.0,115,1.2,226,2.3
2,All Students,2005,4 year August,9098,6024,66.2,4474,49.2,74.3,1519,16.7,25.2,2955,32.5,49.1,1550,17.0,25.7,1833,20.1,906,10.0,116,1.3,219,2.4
2,All Students,2012,4 year June,8980,6646,74.0,6373,71.0,95.9,1964,21.9,29.6,4409,49.1,66.3,273,3.0,4.1,1639,18.3,601,6.7,19,0.2,68,0.8
2,All Students,2011,4 year June,8716,6199,71.1,5935,68.1,95.7,1877,21.5,30.3,4058,46.6,65.5,264,3.0,4.3,1760,20.2,663,7.6,33,0.4,54,0.6
2,All Students,2010,4 year June,9037,6171,68.3,5920,65.5,95.9,1874,20.7,30.4,4046,44.8,65.6,251,2.8,4.1,2061,22.8,717,7.9,36,0.4,50,0.6
2,All Students,2009,4 year June,9454,6132,64.9,5930,62.7,96.7,1796,19.0,29.3,4134,43.7,67.4,202,2.1,3.3,2273,24.0,900,9.5,67,0.7,77,0.8
2,All Students,2008,4 year June,9680,6213,64.2,6001,62.0,96.6,1852,19.1,29.8,4149,42.9,66.8,212,2.2,3.4,2223,23.0,1044,10.8,92,1.0,99,1.0
2,All Students,2007,4 year June,9416,5984,63.6,5380,57.1,89.9,1767,18.8,29.5,3613,38.4,60.4,604,6.4,10.1,2089,22.2,1076,11.4,102,1.1,154,1.6
2,All Students,2006,4 year June,9671,6209,64.2,5146,53.2,82.9,1689,17.5,27.2,3457,35.7,55.7,1063,11.0,17.1,2145,22.2,973,10.1,115,1.2,226,2.3
2,All Students,2005,4 year June,9098,5676,62.4,4315,47.4,76.0,1501,16.5,26.4,2814,30.9,49.6,1361,15.0,24.0,2180,24.0,906,10.0,117,1.3,219,2.4
2,All Students,2004,4 year June,8791,5134,58.4,3672,41.8,71.5,1801,20.5,35.1,1871,21.3,36.4,1462,16.6,28.5,2517,28.6,1015,11.5,99,1.1,26,0.3
2,All Students,2003,4 year June,8187,4467,54.6,3106,37.9,69.5,1571,19.2,35.2,1535,18.7,34.4,1361,16.6,30.5,2501,30.5,1042,12.7,108,1.3,55,0.7
2,All Students,2002,4 year June,8678,5063,58.3,3421,39.4,67.6,1260,14.5,24.9,2161,24.9,42.7,1652,19.0,32.6,2179,25.1,1212,14.0,91,1.0,118,1.4
2,All Students,2001,4 year June,8088,4737,58.6,3078,38.1,65.0,1220,15.1,25.8,1858,23.0,39.2,1661,20.5,35.1,1829,22.6,1244,15.4,240,3.0,36,0.4
2,All Students,2011,5 year August,8798,6989,79.4,6613,75.2,94.6,1895,21.5,27.1,4718,53.6,67.5,376,4.3,5.4,670,7.6,984,11.2,62,0.7,82,0.9
2,All Students,2010,5 year August,9091,7083,77.9,6694,73.6,94.5,1912,21.0,27.0,4782,52.6,67.5,389,4.3,5.5,804,8.8,1074,11.8,50,0.5,72,0.8
2,All Students,2009,5 year August,9443,7099,75.2,6796,72.0,95.7,1840,19.5,25.9,4956,52.5,69.8,303,3.2,4.3,929,9.8,1228,13.0,80,0.8,100,1.1
2,All Students,2008,5 year August,9705,7150,73.7,6836,70.4,95.6,1877,19.3,26.3,4959,51.1,69.4,314,3.2,4.4,826,8.5,1479,15.2,117,1.2,119,1.2
2,All Students,2007,5 year August,9444,6916,73.2,5950,63.0,86.0,1790,19.0,25.9,4160,44.0,60.2,966,10.2,14.0,622,6.6,1587,16.8,126,1.3,184,1.9
2,All Students,2006,5 year August,9753,7211,73.9,5709,58.5,79.2,1705,17.5,23.6,4004,41.1,55.5,1502,15.4,20.8,543,5.6,1587,16.3,163,1.7,244,2.5
2,All Students,2011,5 year June,8798,6930,78.8,6567,74.6,94.8,1895,21.5,27.3,4672,53.1,67.4,363,4.1,5.2,726,8.3,987,11.2,62,0.7,82,0.9
2,All Students,2010,5 year June,9091,7008,77.1,6634,73.0,94.7,1911,21.0,27.3,4723,52.0,67.4,374,4.1,5.3,878,9.7,1075,11.8,50,0.5,72,0.8
2,All Students,2009,5 year June,9443,7015,74.3,6722,71.2,95.8,1838,19.5,26.2,4884,51.7,69.6,293,3.1,4.2,1012,10.7,1229,13.0,80,0.8,100,1.1
2,All Students,2008,5 year June,9705,7057,72.7,6758,69.6,95.8,1877,19.3,26.6,4881,50.3,69.2,299,3.1,4.2,908,9.4,1488,15.3,118,1.2,119,1.2
2,All Students,2007,5 year June,9444,6831,72.3,5905,62.5,86.4,1789,18.9,26.2,4116,43.6,60.3,926,9.8,13.6,691,7.3,1603,17.0,126,1.3,184,1.9
2,All Students,2006,5 year June,9753,7123,73.0,5664,58.1,79.5,1705,17.5,23.9,3959,40.6,55.6,1459,15.0,20.5,614,6.3,1611,16.5,163,1.7,237,2.4
2,All Students,2005,5 year June,9288,6604,71.1,4774,51.4,72.3,1554,16.7,23.5,3220,34.7,48.8,1830,19.7,27.7,748,8.1,1483,16.0,165,1.8,282,3.0
2,All Students,2004,5 year June,8941,6171,69.0,4145,46.4,67.2,1852,20.7,30.0,2293,25.6,37.2,2026,22.7,32.8,902,10.1,1463,16.4,150,1.7,255,2.9
2,All Students,2003,5 year June,8187,5430,66.3,3396,41.5,62.5,1605,19.6,29.6,1791,21.9,33.0,2034,24.8,37.5,1004,12.3,1510,18.4,164,2.0,65,0.8
2,All Students,2002,5 year June,8678,5710,65.8,3644,42.0,63.8,1309,15.1,22.9,2335,26.9,40.9,2117,24.4,37.1,1040,12.0,1633,18.8,160,1.8,119,1.4
2,All Students,2001,5 year June,8088,5415,67.0,3279,40.5,60.6,1230,15.2,22.7,2049,25.3,37.8,2146,26.5,39.6,585,7.2,1724,21.3,322,4.0,36,0.4
2,All Students,2010,6 year June,9171,7282,79.4,6857,74.8,94.2,1912,20.8,26.3,4945,53.9,67.9,425,4.6,5.8,514,5.6,1233,13.4,62,0.7,75,0.8
2,All Students,2009,6 year June,9526,7317,76.8,6980,73.3,95.4,1840,19.3,25.1,5140,54.0,70.2,337,3.5,4.6,587,6.2,1397,14.7,101,1.1,116,1.2
2,All Students,2008,6 year June,9717,7344,75.6,6978,71.8,95.0,1878,19.3,25.6,5100,52.5,69.4,366,3.8,5.0,520,5.4,1585,16.3,138,1.4,115,1.2
2,All Students,2007,6 year June,9457,7067,74.7,6052,64.0,85.6,1791,18.9,25.3,4261,45.1,60.3,1015,10.7,14.4,363,3.8,1705,18.0,137,1.4,174,1.8
2,All Students,2006,6 year June,9776,7380,75.5,5797,59.3,78.6,1710,17.5,23.2,4087,41.8,55.4,1583,16.2,21.4,291,3.0,1689,17.3,172,1.8,236,2.4
2,All Students,2005,6 year June,9245,6902,74.7,4903,53.0,71.0,1555,16.8,22.5,3348,36.2,48.5,1999,21.6,29.0,299,3.2,1579,17.1,184,2.0,273,3.0
2,All Students,2004,6 year June,8985,6504,72.4,4259,47.4,65.5,1851,20.6,28.5,2408,26.8,37.0,2245,25.0,34.5,403,4.5,1643,18.3,165,1.8,257,2.9
2,All Students,2003,6 year June,8189,5783,70.6,3505,42.8,60.6,1606,19.6,27.8,1899,23.2,32.8,2278,27.8,39.4,376,4.6,1697,20.7,183,2.2,136,1.7
2,All Students,2002,6 year June,8678,6044,69.6,3712,42.8,61.4,1315,15.2,21.8,2397,27.6,39.7,2383,27.5,39.4,507,5.8,1799,20.7,192,2.2,120,1.4
2,All Students,2001,6 year June,8088,5591,69.1,3313,41.0,59.3,1233,15.2,22.1,2080,25.7,37.2,2296,28.4,41.1,206,2.5,1899,23.5,350,4.3,36,0.4
3,All Students,2012,4 year August,2256,1753,77.7,1645,72.9,93.8,501,22.2,28.6,1144,50.7,65.3,108,4.8,6.2,345,15.3,138,6.1,5,0.2,14,0.6
3,All Students,2011,4 year August,2425,1825,75.3,1705,70.3,93.4,516,21.3,28.3,1189,49.0,65.2,120,4.9,6.6,453,18.7,132,5.4,7,0.3,8,0.3
3,All Students,2010,4 year August,2314,1727,74.6,1635,70.7,94.7,517,22.3,29.9,1118,48.3,64.7,92,4.0,5.3,428,18.5,151,6.5,5,0.2,3,0.1
3,All Students,2009,4 year August,2330,1608,69.0,1539,66.1,95.7,514,22.1,32.0,1025,44.0,63.7,69,3.0,4.3,522,22.4,163,7.0,22,0.9,13,0.6
3,All Students,2008,4 year August,2301,1524,66.2,1474,64.1,96.7,465,20.2,30.5,1009,43.9,66.2,50,2.2,3.3,483,21.0,254,11.0,16,0.7,22,1.0
3,All Students,2007,4 year August,2597,1705,65.7,1471,56.6,86.3,552,21.3,32.4,919,35.4,53.9,234,9.0,13.7,525,20.2,292,11.2,10,0.4,60,2.3
3,All Students,2006,4 year August,2535,1739,68.6,1474,58.1,84.8,443,17.5,25.5,1031,40.7,59.3,265,10.5,15.2,511,20.2,211,8.3,22,0.9,51,2.0
3,All Students,2005,4 year August,2574,1742,67.7,1388,53.9,79.7,507,19.7,29.1,881,34.2,50.6,354,13.8,20.3,558,21.7,199,7.7,38,1.5,37,1.4
3,All Students,2012,4 year June,2256,1706,75.6,1614,71.5,94.6,498,22.1,29.2,1116,49.5,65.4,92,4.1,5.4,392,17.4,138,6.1,5,0.2,14,0.6
3,All Students,2011,4 year June,2425,1767,72.9,1665,68.7,94.2,516,21.3,29.2,1149,47.4,65.0,102,4.2,5.8,510,21.0,132,5.4,7,0.3,8,0.3
3,All Students,2010,4 year June,2314,1649,71.3,1570,67.8,95.2,513,22.2,31.1,1057,45.7,64.1,79,3.4,4.8,506,21.9,151,6.5,5,0.2,3,0.1
3,All Students,2009,4 year June,2330,1519,65.2,1462,62.7,96.2,510,21.9,33.6,952,40.9,62.7,57,2.4,3.8,611,26.2,163,7.0,22,0.9,13,0.6
3,All Students,2008,4 year June,2301,1467,63.8,1424,61.9,97.1,465,20.2,31.7,959,41.7,65.4,43,1.9,2.9,539,23.4,254,11.0,17,0.7,22,1.0
3,All Students,2007,4 year June,2597,1623,62.5,1429,55.0,88.0,551,21.2,33.9,878,33.8,54.1,194,7.5,12.0,604,23.3,296,11.4,11,0.4,57,2.2
3,All Students,2006,4 year June,2535,1663,65.6,1439,56.8,86.5,443,17.5,26.6,996,39.3,59.9,224,8.8,13.5,585,23.1,212,8.4,22,0.9,52,2.1
3,All Students,2005,4 year June,2574,1678,65.2,1364,53.0,81.3,503,19.5,30.0,861,33.4,51.3,314,12.2,18.7,622,24.2,199,7.7,38,1.5,37,1.4
3,All Students,2004,4 year June,2383,1490,62.5,1201,50.4,80.6,478,20.1,32.1,723,30.3,48.5,289,12.1,19.4,590,24.8,257,10.8,33,1.4,12,0.5
3,All Students,2003,4 year June,2170,1272,58.6,1023,47.1,80.4,513,23.6,40.3,510,23.5,40.1,249,11.5,19.6,599,27.6,236,10.9,31,1.4,19,0.9
3,All Students,2002,4 year June,1831,1202,65.6,1000,54.6,83.2,260,14.2,21.6,740,40.4,61.6,202,11.0,16.8,430,23.5,169,9.2,14,0.8,16,0.9
3,All Students,2001,4 year June,1663,1103,66.3,827,49.7,75.0,270,16.2,24.5,557,33.5,50.5,276,16.6,25.0,304,18.3,224,13.5,26,1.6,6,0.4
3,All Students,2011,5 year August,2447,1970,80.5,1809,73.9,91.8,516,21.1,26.2,1293,52.8,65.6,161,6.6,8.2,215,8.8,233,9.5,15,0.6,12,0.5
3,All Students,2010,5 year August,2369,1871,79.0,1751,73.9,93.6,517,21.8,27.6,1234,52.1,66.0,120,5.1,6.4,238,10.0,238,10.0,13,0.5,8,0.3
3,All Students,2009,5 year August,2364,1786,75.5,1690,71.5,94.6,515,21.8,28.8,1175,49.7,65.8,96,4.1,5.4,239,10.1,301,12.7,24,1.0,13,0.5
3,All Students,2008,5 year August,2334,1655,70.9,1584,67.9,95.7,465,19.9,28.1,1119,47.9,67.6,71,3.0,4.3,260,11.1,363,15.6,30,1.3,24,1.0
3,All Students,2007,5 year August,2639,1867,70.7,1551,58.8,83.1,553,21.0,29.6,998,37.8,53.5,316,12.0,16.9,232,8.8,447,16.9,38,1.4,52,2.0
3,All Students,2006,5 year August,2652,1930,72.8,1567,59.1,81.2,446,16.8,23.1,1121,42.3,58.1,363,13.7,18.8,251,9.5,380,14.3,38,1.4,50,1.9
3,All Students,2011,5 year June,2447,1954,79.9,1803,73.7,92.3,516,21.1,26.4,1287,52.6,65.9,151,6.2,7.7,231,9.4,233,9.5,15,0.6,12,0.5
3,All Students,2010,5 year June,2369,1843,77.8,1727,72.9,93.7,517,21.8,28.1,1210,51.1,65.7,116,4.9,6.3,266,11.2,238,10.0,13,0.5,8,0.3
3,All Students,2009,5 year June,2364,1761,74.5,1667,70.5,94.7,515,21.8,29.2,1152,48.7,65.4,94,4.0,5.3,261,11.0,304,12.9,24,1.0,13,0.5
3,All Students,2008,5 year June,2334,1636,70.1,1565,67.1,95.7,465,19.9,28.4,1100,47.1,67.2,71,3.0,4.3,277,11.9,365,15.6,30,1.3,24,1.0
3,All Students,2007,5 year June,2639,1852,70.2,1543,58.5,83.3,553,21.0,29.9,990,37.5,53.5,309,11.7,16.7,246,9.3,448,17.0,38,1.4,52,2.0
3,All Students,2006,5 year June,2652,1915,72.2,1559,58.8,81.4,446,16.8,23.3,1113,42.0,58.1,356,13.4,18.6,264,10.0,382,14.4,38,1.4,49,1.8
3,All Students,2005,5 year June,2650,1901,71.7,1448,54.6,76.2,507,19.1,26.7,941,35.5,49.5,453,17.1,23.8,261,9.8,383,14.5,49,1.8,55,2.1
3,All Students,2004,5 year June,2449,1742,71.1,1275,52.1,73.2,482,19.7,27.7,793,32.4,45.5,467,19.1,26.8,259,10.6,350,14.3,42,1.7,55,2.2
3,All Students,2003,5 year June,2170,1435,66.1,1075,49.5,74.9,517,23.8,36.0,558,25.7,38.9,360,16.6,25.1,271,12.5,383,17.6,46,2.1,22,1.0
3,All Students,2002,5 year June,1831,1330,72.6,1046,57.1,78.6,267,14.6,20.1,779,42.5,58.6,292,15.9,22.0,208,11.4,250,13.7,26,1.4,16,0.9
3,All Students,2001,5 year June,1663,1216,73.1,882,53.0,72.5,282,17.0,23.2,600,36.1,49.3,334,20.1,27.5,109,6.6,296,17.8,36,2.2,6,0.4
3,All Students,2010,6 year June,2375,1919,80.8,1789,75.3,93.2,517,21.8,26.9,1272,53.6,66.3,130,5.5,6.8,156,6.6,277,11.7,14,0.6,8,0.3
3,All Students,2009,6 year June,2382,1839,77.2,1727,72.5,93.9,515,21.6,28.0,1212,50.9,65.9,112,4.7,6.1,172,7.2,331,13.9,25,1.0,14,0.6
3,All Students,2008,6 year June,2327,1719,73.9,1638,70.4,95.3,465,20.0,27.1,1173,50.4,68.2,81,3.5,4.7,145,6.2,399,17.1,38,1.6,25,1.1
3,All Students,2007,6 year June,2622,1904,72.6,1570,59.9,82.5,553,21.1,29.0,1017,38.8,53.4,334,12.7,17.5,128,4.9,491,18.7,40,1.5,56,2.1
3,All Students,2006,6 year June,2639,1991,75.4,1586,60.1,79.7,446,16.9,22.4,1140,43.2,57.3,405,15.3,20.3,91,3.4,466,17.7,39,1.5,48,1.8
3,All Students,2005,6 year June,2650,1991,75.1,1476,55.7,74.1,507,19.1,25.5,969,36.6,48.7,515,19.4,25.9,122,4.6,431,16.3,51,1.9,52,2.0
3,All Students,2004,6 year June,2462,1839,74.7,1300,52.8,70.7,482,19.6,26.2,818,33.2,44.5,539,21.9,29.3,112,4.5,413,16.8,42,1.7,53,2.2
3,All Students,2003,6 year June,2175,1525,70.1,1094,50.3,71.7,517,23.8,33.9,577,26.5,37.8,431,19.8,28.3,113,5.2,441,20.3,49,2.3,34,1.6
3,All Students,2002,6 year June,1831,1373,75.0,1052,57.5,76.6,267,14.6,19.4,785,42.9,57.2,329,18.0,24.0,112,6.1,302,16.5,26,1.4,17,0.9
3,All Students,2001,6 year June,1663,1232,74.1,886,53.3,71.9,282,17.0,22.9,604,36.3,49.0,348,20.9,28.2,63,3.8,320,19.2,42,2.5,6,0.4
4,All Students,2012,4 year August,928,769,82.9,721,77.7,93.8,240,25.9,31.2,481,51.8,62.5,48,5.2,6.2,88,9.5,48,5.2,13,1.4,8,0.9
